t (us),volts
44.6752,0.0598125
44.676,0.058
44.6768,0.054375
44.6776,0.06253125
44.6784,0.0525625
44.6792,0.076125
44.68,0.061625
44.6808,0.0525625
44.6816,0.06796875
44.6824,0.0489375
44.6832,0.07703125
44.684,0.0634375
44.6848,0.06615625
44.6856,0.0634375
44.6864,0.0779375
44.6872,0.07159375
44.688,0.0779375
44.6888,0.083375
44.6896,0.08428125
44.6904,0.0779375
44.6912,0.07975
44.692,0.09425
44.6928,0.0743125
44.6936,0.07521875
44.6944,0.08971875
44.6952,0.07521875
44.696,0.06796875
44.6968,0.09425
44.6976,0.04803125
44.6984,0.06978125
44.6992,0.0743125
44.7,0.087
44.7008,0.068875
44.7016,0.054375
44.7024,0.0779375
44.7032,0.03715625
44.704,0.07340625
44.7048,0.06434375
44.7056,0.0670625
44.7064,0.058
44.7072,0.06978125
44.708,0.05165625
44.7088,0.06525
44.7096,0.06434375
44.7104,0.07159375
44.7112,0.0598125
44.712,0.0489375
44.7128,0.07884375
44.7136,0.0598125
44.7144,0.061625
44.7152,0.05709375
44.716,0.032625
44.7168,0.047125
44.7176,0.05075
44.7184,0.0489375
44.7192,0.0416875
44.72,0.05346875
44.7208,0.07340625
44.7216,0.05709375
44.7224,0.058
44.7232,0.090625
44.724,0.07703125
44.7248,0.08246875
44.7256,0.07521875
44.7264,0.083375
44.7272,0.09334375
44.728,0.07884375
44.7288,0.0815625
44.7296,0.07340625
44.7304,0.08609375
44.7312,0.05890625
44.732,0.0525625
44.7328,0.0561875
44.7336,0.04259375
44.7344,0.06615625
44.7352,0.05528125
44.736,0.05709375
44.7368,0.0598125
44.7376,0.0453125
44.7384,0.0779375
44.7392,0.0779375
44.74,0.061625
44.7408,0.09334375
44.7416,0.061625
44.7424,0.1005938
44.7432,0.08246875
44.744,0.0670625
44.7448,0.09696875
44.7456,0.0743125
44.7464,0.06796875
44.7472,0.07975
44.748,0.0525625
44.7488,0.0706875
44.7496,0.04984375
44.7504,0.0725
44.7512,0.054375
44.752,0.076125
44.7528,0.087
44.7536,0.0996875
44.7544,0.090625
44.7552,0.08609375
44.756,0.112375
44.7568,0.06978125
44.7576,0.07703125
44.7584,0.06796875
44.7592,0.06525
44.76,0.068875
44.7608,0.05890625
44.7616,0.05528125
44.7624,0.0634375
44.7632,0.06615625
44.764,0.06434375
44.7648,0.04440625
44.7656,0.06253125
44.7664,0.058
44.7672,0.06978125
44.768,0.0851875
44.7688,0.06615625
44.7696,0.06071875
44.7704,0.0924375
44.7712,0.076125
44.772,0.0725
44.7728,0.05346875
44.7736,0.047125
44.7744,0.05165625
44.7752,0.0779375
44.776,0.0706875
44.7768,0.0725
44.7776,0.07703125
44.7784,0.0888125
44.7792,0.1105625
44.78,0.0725
44.7808,0.06253125
44.7816,0.0561875
44.7824,0.05075
44.7832,0.05709375
44.784,0.0380625
44.7848,0.03896875
44.7856,0.01903125
44.7864,0.0271875
44.7872,0.02446875
44.788,0.047125
44.7888,0.06525
44.7896,0.058
44.7904,0.0634375
44.7912,0.061625
44.792,0.1015
44.7928,0.0996875
44.7936,0.08609375
44.7944,0.047125
44.7952,0.06978125
44.796,0.05075
44.7968,0.058
44.7976,0.058
44.7984,0.03625
44.7992,0.03353125
44.8,0.0561875
44.8008,0.04984375
44.8016,0.05528125
44.8024,0.06434375
44.8032,0.08971875
44.804,0.06434375
44.8048,0.061625
44.8056,0.07159375
44.8064,0.0489375
44.8072,0.04259375
44.808,0.06434375
44.8088,0.0634375
44.8096,0.07975
44.8104,0.0779375
44.8112,0.0815625
44.812,0.08428125
44.8128,0.08609375
44.8136,0.0743125
44.8144,0.0743125
44.8152,0.07703125
44.816,0.0996875
44.8168,0.08246875
44.8176,0.06978125
44.8184,0.047125
44.8192,0.047125
44.82,0.047125
44.8208,0.039875
44.8216,0.058
44.8224,0.05075
44.8232,0.05890625
44.824,0.0670625
44.8248,0.061625
44.8256,0.0598125
44.8264,0.05346875
44.8272,0.05346875
44.828,0.05075
44.8288,0.087
44.8296,0.0416875
44.8304,0.06253125
44.8312,0.04440625
44.832,0.0634375
44.8328,0.06615625
44.8336,0.04984375
44.8344,0.0525625
44.8352,0.06796875
44.836,0.0235625
44.8368,0.0598125
44.8376,0.054375
44.8384,0.03625
44.8392,0.058
44.84,0.083375
44.8408,0.08065625
44.8416,0.06525
44.8424,0.06615625
44.8432,0.0670625
44.844,0.0634375
44.8448,0.0525625
44.8456,0.054375
44.8464,0.058
44.8472,0.06071875
44.848,0.061625
44.8488,0.05165625
44.8496,0.0779375
44.8504,0.06434375
44.8512,0.06434375
44.852,0.05346875
44.8528,0.06434375
44.8536,0.0453125
44.8544,0.07884375
44.8552,0.0725
44.856,0.06796875
44.8568,0.0779375
44.8576,0.06434375
44.8584,0.061625
44.8592,0.061625
44.86,0.054375
44.8608,0.0706875
44.8616,0.068875
44.8624,0.06796875
44.8632,0.061625
44.864,0.05709375
44.8648,0.0706875
44.8656,0.06525
44.8664,0.054375
44.8672,0.06615625
44.868,0.06978125
44.8688,0.05709375
44.8696,0.0779375
44.8704,0.0706875
44.8712,0.08790625
44.872,0.0779375
44.8728,0.090625
44.8736,0.06978125
44.8744,0.05709375
44.8752,0.07521875
44.876,0.07340625
44.8768,0.054375
44.8776,0.07521875
44.8784,0.0743125
44.8792,0.0725
44.88,0.0743125
44.8808,0.06434375
44.8816,0.0561875
44.8824,0.0706875
44.8832,0.0598125
44.884,0.06434375
44.8848,0.0743125
44.8856,0.04984375
44.8864,0.07884375
44.8872,0.07159375
44.888,0.0888125
44.8888,0.08065625
44.8896,0.0815625
44.8904,0.0960625
44.8912,0.07521875
44.892,0.07521875
44.8928,0.07975
44.8936,0.05709375
44.8944,0.054375
44.8952,0.06434375
44.896,0.06253125
44.8968,0.0706875
44.8976,0.039875
44.8984,0.0525625
44.8992,0.0706875
44.9,0.06253125
44.9008,0.061625
44.9016,0.04078125
44.9024,0.0235625
44.9032,0.03171875
44.904,0.03715625
44.9048,0.01540625
44.9056,0.04803125
44.9064,0.02175
44.9072,0.0308125
44.908,0.03715625
44.9088,0.0706875
44.9096,0.068875
44.9104,0.0670625
44.9112,0.0489375
44.912,0.0779375
44.9128,0.03896875
44.9136,0.0725
44.9144,0.0561875
44.9152,0.04440625
44.916,0.04440625
44.9168,0.0743125
44.9176,0.0525625
44.9184,0.0561875
44.9192,0.06796875
44.92,0.05346875
44.9208,0.05165625
44.9216,0.0815625
44.9224,0.05890625
44.9232,0.05165625
44.924,0.0525625
44.9248,0.07884375
44.9256,0.05890625
44.9264,0.06615625
44.9272,0.06525
44.928,0.0561875
44.9288,0.06796875
44.9296,0.08428125
44.9304,0.0670625
44.9312,0.087
44.932,0.05890625
44.9328,0.09878125
44.9336,0.1060313
44.9344,0.0888125
44.9352,0.08428125
44.936,0.10875
44.9368,0.07340625
44.9376,0.08971875
44.9384,0.0924375
44.9392,0.09334375
44.94,0.08609375
44.9408,0.07159375
44.9416,0.07521875
44.9424,0.0598125
44.9432,0.07703125
44.944,0.09334375
44.9448,0.06796875
44.9456,0.04803125
44.9464,0.083375
44.9472,0.061625
44.948,0.07159375
44.9488,0.05346875
44.9496,0.061625
44.9504,0.1005938
44.9512,0.0525625
44.952,0.07975
44.9528,0.06796875
44.9536,0.08246875
44.9544,0.0888125
44.9552,0.07703125
44.956,0.06434375
44.9568,0.0670625
44.9576,0.054375
44.9584,0.0561875
44.9592,0.05890625
44.96,0.0525625
44.9608,0.06434375
44.9616,0.03353125
44.9624,0.03353125
44.9632,0.07884375
44.964,0.09696875
44.9648,0.06071875
44.9656,0.06525
44.9664,0.07521875
44.9672,0.087
44.968,0.054375
44.9688,0.05890625
44.9696,0.04803125
44.9704,0.025375
44.9712,0.02990625
44.972,0.0308125
44.9728,0.058
44.9736,0.06525
44.9744,0.061625
44.9752,0.0706875
44.976,0.06978125
44.9768,0.06615625
44.9776,0.076125
44.9784,0.068875
44.9792,0.0779375
44.98,0.0598125
44.9808,0.06615625
44.9816,0.05709375
44.9824,0.083375
44.9832,0.0725
44.984,0.05890625
44.9848,0.04803125
44.9856,0.06071875
44.9864,0.07975
44.9872,0.1042187
44.988,0.1015
44.9888,0.0996875
44.9896,0.05709375
44.9904,0.06525
44.9912,0.08971875
44.992,0.08065625
44.9928,0.12325
44.9936,0.1005938
44.9944,0.06071875
44.9952,0.068875
44.996,0.08609375
44.9968,0.0888125
44.9976,0.07159375
44.9984,0.05709375
44.9992,0.047125
45,0.058
45.0008,0.04078125
45.0016,0.05709375
45.0024,0.0670625
45.0032,0.06978125
45.004,0.07521875
45.0048,0.06978125
45.0056,0.0725
45.0064,0.04803125
45.0072,0.06978125
45.008,0.090625
45.0088,0.07521875
45.0096,0.07159375
45.0104,0.06978125
45.0112,0.0743125
45.012,0.07340625
45.0128,0.07975
45.0136,0.06253125
45.0144,0.04621875
45.0152,0.0416875
45.016,0.06253125
45.0168,0.05528125
45.0176,0.0960625
45.0184,0.07159375
45.0192,0.0435
45.02,0.0670625
45.0208,0.03625
45.0216,0.05709375
45.0224,0.0489375
45.0232,0.06525
45.024,0.06615625
45.0248,0.06253125
45.0256,0.0706875
45.0264,0.0779375
45.0272,0.1005938
45.028,0.1096563
45.0288,0.07884375
45.0296,0.0851875
45.0304,0.1114688
45.0312,0.0996875
45.032,0.08609375
45.0328,0.08065625
45.0336,0.08065625
45.0344,0.08246875
45.0352,0.1078438
45.036,0.0779375
45.0368,0.07159375
45.0376,0.087
45.0384,0.1096563
45.0392,0.1033125
45.04,0.07975
45.0408,0.06978125
45.0416,0.08428125
45.0424,0.07884375
45.0432,0.08428125
45.044,0.08428125
45.0448,0.05890625
45.0456,0.090625
45.0464,0.09515625
45.0472,0.09696875
45.048,0.08065625
45.0488,0.04440625
45.0496,0.0634375
45.0504,0.07521875
45.0512,0.054375
45.052,0.05346875
45.0528,0.08971875
45.0536,0.076125
45.0544,0.06525
45.0552,0.0815625
45.056,0.06434375
45.0568,0.0779375
45.0576,0.08428125
45.0584,0.06978125
45.0592,0.09153125
45.06,0.058
45.0608,0.06796875
45.0616,0.068875
45.0624,0.07703125
45.0632,0.07703125
45.064,0.0996875
45.0648,0.05528125
45.0656,0.09515625
45.0664,0.105125
45.0672,0.1005938
45.068,0.0888125
45.0688,0.05890625
45.0696,0.07159375
45.0704,0.0598125
45.0712,0.083375
45.072,0.0725
45.0728,0.05709375
45.0736,0.047125
45.0744,0.068875
45.0752,0.04984375
45.076,0.0725
45.0768,0.04803125
45.0776,0.0598125
45.0784,0.0525625
45.0792,0.0453125
45.08,0.05890625
45.0808,0.0271875
45.0816,0.06978125
45.0824,0.03625
45.0832,0.06796875
45.084,0.0706875
45.0848,0.083375
45.0856,0.0743125
