

Time (s)	Laser Channel	Temperature	Aux In	
67.649190	88.000000	0.319887	0.000000
67.654190	88.000000	0.322512	0.000000
67.659190	88.000000	0.324049	0.000000
67.664190	88.000000	0.319893	0.000000
67.669190	88.000000	0.321276	0.000000
67.674190	88.000000	0.317411	0.000000
67.679190	88.000000	0.320034	0.000000
67.684190	88.000000	0.327768	0.000000
67.689190	88.000000	0.316025	0.000000
67.694190	88.000000	0.322517	0.000000
67.699190	88.000000	0.322510	0.000000
67.704190	88.000000	0.312171	0.000000
67.709190	88.000000	0.320033	0.000000
67.714190	88.000000	0.327777	0.000000
67.719190	88.000000	0.319886	0.000000
67.724190	88.000000	0.322659	0.000000
67.729190	88.000000	0.313694	0.000000
67.734190	88.000000	0.326376	0.000000
67.739190	88.000000	0.323902	0.000000
67.744190	88.000000	0.314933	0.000000
67.749190	88.000000	0.326232	0.000000
67.754190	88.000000	0.321273	0.000000
67.759190	88.000000	0.315732	0.000000
67.764190	88.000000	0.322819	0.000000
67.769190	88.000000	0.327613	0.000000
67.774190	88.000000	0.327766	0.000000
67.779190	88.000000	0.325137	0.000000
67.784190	88.000000	0.312309	0.000000
67.789190	88.000000	0.314502	0.000000
67.794190	88.000000	0.313548	0.000000
67.799190	88.000000	0.322660	0.000000
67.804190	88.000000	0.323902	0.000000
67.809190	88.000000	0.325141	0.000000
67.814190	88.000000	0.323898	0.000000
67.819190	88.000000	0.327916	0.000000
67.824190	88.000000	0.323898	0.000000
67.829190	88.000000	0.314792	0.000000
67.834190	88.000000	0.317272	0.000000
67.839190	88.000000	0.325289	0.000000
67.844190	88.000000	0.324989	0.000000
67.849190	88.000000	0.318647	0.000000
67.854190	88.000000	0.309395	0.000000
67.859190	88.000000	0.321425	0.000000
67.864190	88.000000	0.305830	0.000000
67.869190	88.000000	0.319746	0.000000
67.874190	88.000000	0.317265	0.000000
67.879190	88.000000	0.318797	0.000000
67.884190	88.000000	0.313552	0.000000
67.889190	88.000000	0.314785	0.000000
67.894190	88.000000	0.324049	0.000000
67.899190	88.000000	0.313841	0.000000
67.904190	88.000000	0.321272	0.000000
67.909190	88.000000	0.313552	0.000000
67.914190	88.000000	0.320193	0.000000
67.919190	88.000000	0.317416	0.000000
67.924190	88.000000	0.318648	0.000000
67.929190	88.000000	0.326681	0.000000
67.934190	88.000000	0.323751	0.000000
67.939190	88.000000	0.325434	0.000000
67.944190	88.000000	0.323899	0.000000
67.949190	88.000000	0.310781	0.000000
67.954190	88.000000	0.325292	0.000000
67.959190	88.000000	0.323897	0.000000
67.964190	88.000000	0.318795	0.000000
67.969190	88.000000	0.325136	0.000000
67.974190	88.000000	0.314790	0.000000
67.979190	88.000000	0.314790	0.000000
67.984190	88.000000	0.316323	0.000000
67.989190	88.000000	0.326525	0.000000
67.994190	88.000000	0.314641	0.000000
67.999190	88.000000	0.312168	0.000000
68.004190	88.000000	0.316173	0.000000
68.009190	88.000000	0.329008	0.000000
68.014190	88.000000	0.321273	0.000000
68.019190	88.000000	0.314932	0.000000
68.024190	88.000000	0.324052	0.000000
68.029190	88.000000	0.314791	0.000000
68.034190	88.000000	0.320192	0.000000
68.039190	88.000000	0.316322	0.000000
68.044190	88.000000	0.319094	0.000000
68.049190	88.000000	0.317561	0.000000
68.054190	88.000000	0.324045	0.000000
68.059190	88.000000	0.314791	0.000000
68.064190	88.000000	0.312022	0.000000
68.069190	88.000000	0.314786	0.000000
68.074190	88.000000	0.322511	0.000000
68.079190	88.000000	0.325289	0.000000
68.084190	88.000000	0.315081	0.000000
68.089190	88.000000	0.311072	0.000000
68.094190	88.000000	0.322957	0.000000
68.099190	88.000000	0.313701	0.000000
68.104190	88.000000	0.312161	0.000000
68.109190	88.000000	0.323904	0.000000
68.114190	88.000000	0.320034	0.000000
68.119190	88.000000	0.320039	0.000000
68.124190	88.000000	0.322812	0.000000
68.129190	88.000000	0.316024	0.000000
68.134190	88.000000	0.318942	0.000000
68.139190	88.000000	0.322511	0.000000
68.144190	88.000000	0.318499	0.000000
68.149190	88.000000	0.321426	0.000000
68.154190	88.000000	0.317703	0.000000
68.159190	88.000000	0.315242	0.000000
68.164190	88.000000	0.309689	0.000000
68.169190	88.000000	0.308448	0.000000
68.174190	88.000000	0.325142	0.000000
68.179190	88.000000	0.320035	0.000000
68.184190	88.000000	0.317710	0.000000
68.189190	88.000000	0.320033	0.000000
68.194190	88.000000	0.317421	0.000000
68.199190	88.000000	0.317559	0.000000
68.204190	88.000000	0.316319	0.000000
68.209190	88.000000	0.314938	0.000000
68.214190	88.000000	0.314935	0.000000
68.219190	88.000000	0.316175	0.000000
68.224190	88.000000	0.320187	0.000000
68.229190	88.000000	0.313551	0.000000
68.234190	88.000000	0.318795	0.000000
68.239190	88.000000	0.314934	0.000000
68.244190	88.000000	0.321578	0.000000
68.249190	88.000000	0.312604	0.000000
68.254190	88.000000	0.320039	0.000000
68.259190	88.000000	0.323107	0.000000
68.264190	88.000000	0.314934	0.000000
68.269190	88.000000	0.317850	0.000000
68.274190	88.000000	0.321424	0.000000
68.279190	88.000000	0.315080	0.000000
68.284190	88.000000	0.322955	0.000000
68.289190	88.000000	0.312308	0.000000
68.294190	88.000000	0.315230	0.000000
68.299190	88.000000	0.322819	0.000000
68.304190	88.000000	0.317704	0.000000
68.309190	88.000000	0.315080	0.000000
68.314190	88.000000	0.310928	0.000000
68.319190	88.000000	0.312457	0.000000
68.324190	88.000000	0.313848	0.000000
68.329190	88.000000	0.321570	0.000000
68.334190	88.000000	0.318949	0.000000
68.339190	88.000000	0.313696	0.000000
68.344190	88.000000	0.311070	0.000000
68.349190	88.000000	0.315085	0.000000
68.354190	88.000000	0.322512	0.000000
68.359190	88.000000	0.307504	0.000000
68.364190	88.000000	0.316319	0.000000
68.369190	88.000000	0.313697	0.000000
68.374190	88.000000	0.314795	0.000000
68.379190	88.000000	0.317870	0.000000
68.384190	88.000000	0.311077	0.000000
68.389190	88.000000	0.315236	0.000000
68.394190	88.000000	0.305979	0.000000
68.399190	88.000000	0.318947	0.000000
68.404190	88.000000	0.315225	0.000000
68.409190	88.000000	0.317422	0.000000
68.414190	88.000000	0.317567	0.000000
68.419190	88.000000	0.318958	0.000000
68.424190	88.000000	0.312754	0.000000
68.429190	88.000000	0.306128	0.000000
68.434190	88.000000	0.322660	0.000000
68.439190	88.000000	0.318942	0.000000
68.444190	88.000000	0.307360	0.000000
68.449190	88.000000	0.317856	0.000000
68.454190	88.000000	0.318945	0.000000
68.459190	88.000000	0.313847	0.000000
68.464190	88.000000	0.320038	0.000000
68.469190	88.000000	0.316317	0.000000
68.474190	88.000000	0.315230	0.000000
68.479190	88.000000	0.317559	0.000000
68.484190	88.000000	0.319093	0.000000
68.489190	88.000000	0.312327	0.000000
68.494190	88.000000	0.314933	0.000000
68.499190	88.000000	0.325435	0.000000
68.504190	88.000000	0.314935	0.000000
68.509190	88.000000	0.309542	0.000000
68.514190	88.000000	0.312460	0.000000
68.519190	88.000000	0.309689	0.000000
68.524190	88.000000	0.316463	0.000000
68.529190	88.000000	0.313848	0.000000
68.534190	88.000000	0.321421	0.000000
68.539190	88.000000	0.307357	0.000000
68.544190	88.000000	0.325584	0.000000
68.549190	88.000000	0.321718	0.000000
68.554190	88.000000	0.314933	0.000000
68.559190	88.000000	0.312604	0.000000
68.564190	88.000000	0.312603	0.000000
68.569190	88.000000	0.316320	0.000000
68.574190	88.000000	0.314935	0.000000
68.579190	88.000000	0.321570	0.000000
68.584190	88.000000	0.312603	0.000000
68.589190	88.000000	0.315520	0.000000
68.594190	88.000000	0.312454	0.000000
68.599190	88.000000	0.315226	0.000000
68.604190	88.000000	0.313841	0.000000
68.609190	88.000000	0.303502	0.000000
68.614190	88.000000	0.310127	0.000000
68.619190	88.000000	0.315233	0.000000
68.624190	88.000000	0.313844	0.000000
68.629190	88.000000	0.307505	0.000000
68.634190	88.000000	0.302116	0.000000
68.639190	88.000000	0.304882	0.000000
68.644190	88.000000	0.313695	0.000000
68.649190	88.000000	0.318950	0.000000
68.654190	88.000000	0.312756	0.000000
68.659190	88.000000	0.319102	0.000000
68.664190	88.000000	0.309834	0.000000
68.669190	88.000000	0.315086	0.000000
68.674190	88.000000	0.308596	0.000000
68.679190	88.000000	0.320329	0.000000
68.684190	88.000000	0.313846	0.000000
68.689190	88.000000	0.313988	0.000000
68.694190	88.000000	0.313847	0.000000
68.699190	88.000000	0.318950	0.000000
68.704190	88.000000	0.312750	0.000000
68.709190	88.000000	0.313989	0.000000
68.714190	88.000000	0.305977	0.000000
68.719190	88.000000	0.300881	0.000000
68.724190	88.000000	0.307503	0.000000
68.729190	88.000000	0.305983	0.000000
68.734190	88.000000	0.311365	0.000000
68.739190	88.000000	0.312460	0.000000
68.744190	88.000000	0.317704	0.000000
68.749190	88.000000	0.317706	0.000000
68.754190	88.000000	0.319104	0.000000
68.759190	88.000000	0.315082	0.000000
68.764190	88.000000	0.313842	0.000000
68.769190	88.000000	0.309838	0.000000
68.774190	88.000000	0.303510	0.000000
68.779190	88.000000	0.311072	0.000000
68.784190	88.000000	0.305028	0.000000
68.789190	88.000000	0.312460	0.000000
68.794190	88.000000	0.302259	0.000000
68.799190	88.000000	0.307505	0.000000
68.804190	88.000000	0.303497	0.000000
68.809190	88.000000	0.318943	0.000000
68.814190	88.000000	0.297172	0.000000
68.819190	88.000000	0.309834	0.000000
68.824190	88.000000	0.313991	0.000000
68.829190	88.000000	0.311365	0.000000
68.834190	88.000000	0.318798	0.000000
68.839190	88.000000	0.313696	0.000000
68.844190	88.000000	0.315240	0.000000
68.849190	88.000000	0.306127	0.000000
68.854190	88.000000	0.313989	0.000000
68.859190	88.000000	0.315226	0.000000
68.864190	88.000000	0.313846	0.000000
68.869190	88.000000	0.313842	0.000000
68.874190	88.000000	0.304740	0.000000
68.879190	88.000000	0.320335	0.000000
68.884190	88.000000	0.316465	0.000000
68.889190	88.000000	0.308887	0.000000
68.894190	88.000000	0.313989	0.000000
68.899190	88.000000	0.315089	0.000000
68.904190	88.000000	0.306267	0.000000
68.909190	88.000000	0.313843	0.000000
68.914190	88.000000	0.308743	0.000000
68.919190	88.000000	0.316617	0.000000
68.924190	88.000000	0.317850	0.000000
68.929190	88.000000	0.313843	0.000000
68.934190	88.000000	0.307651	0.000000
68.939190	88.000000	0.321571	0.000000
68.944190	88.000000	0.310127	0.000000
68.949190	88.000000	0.309987	0.000000
68.954190	88.000000	0.308750	0.000000
68.959190	88.000000	0.309995	0.000000
68.964190	88.000000	0.312604	0.000000
68.969190	88.000000	0.308743	0.000000
68.974190	88.000000	0.308742	0.000000
68.979190	88.000000	0.308742	0.000000
68.984190	88.000000	0.314133	0.000000
68.989190	88.000000	0.308891	0.000000
68.994190	88.000000	0.310124	0.000000
68.999190	88.000000	0.304882	0.000000
69.004190	88.000000	0.317857	0.000000
69.009190	88.000000	0.305038	0.000000
69.014190	88.000000	0.297169	0.000000
69.019190	88.000000	0.304901	0.000000
69.024190	88.000000	0.309983	0.000000
69.029190	88.000000	0.307358	0.000000
69.034190	88.000000	0.313696	0.000000
69.039190	88.000000	0.312751	0.000000
69.044190	88.000000	0.316471	0.000000
69.049190	88.000000	0.324049	0.000000
69.054190	88.000000	0.301025	0.000000
69.059190	88.000000	0.311229	0.000000
69.064190	88.000000	0.308748	0.000000
69.069190	88.000000	0.308740	0.000000
69.074190	88.000000	0.308755	0.000000
69.079190	88.000000	0.304880	0.000000
69.084190	88.000000	0.319095	0.000000
69.089190	88.000000	0.316467	0.000000
69.094190	88.000000	0.313994	0.000000
69.099190	88.000000	0.304886	0.000000
69.104190	88.000000	0.305034	0.000000
69.109190	88.000000	0.298546	0.000000
69.114190	88.000000	0.322014	0.000000
69.119190	88.000000	0.316464	0.000000
69.124190	88.000000	0.312604	0.000000
69.129190	88.000000	0.307653	0.000000
69.134190	88.000000	0.305171	0.000000
69.139190	88.000000	0.310129	0.000000
69.144190	88.000000	0.307652	0.000000
69.149190	88.000000	0.317703	0.000000
69.154190	88.000000	0.303355	0.000000
69.159190	88.000000	0.317850	0.000000
